Object Classification
0.042128
0.064749
0.055097
0.042496
0.032973
0.028620
0.028465
0.028246
0.030179
0.030291
0.034561
0.030659
0.028514
0.028810
0.029422
0.030909
0.029016
0.028828
0.028099
0.029643
0.028158
0.033000
0.032686
0.029296
0.028391
0.029099
0.030477
0.029660
0.028553
0.028486
0.033197
0.028202
0.028601
0.028594
0.030672
0.029773
0.028654
0.028152
0.031886
0.030340
0.028783
0.028912
0.028950
0.030168
0.028634
0.028343
0.028846
0.027893
0.028287
0.030107
0.034799
0.030877
0.032332
0.029585
0.030334
0.028307
0.028431
0.030146
0.029516
0.028466
0.028369
0.028986
0.030164
0.028141
0.028400
0.033625
0.030122
0.030694
0.028910
0.028261
0.028520
0.028745
0.030288
0.028522
0.029019
0.028414
0.028041
0.028638
0.028587
0.034214
0.030934
0.029481
0.028555
0.028451
0.028961
0.030976
0.028527
0.028717
0.030095
0.028826
0.029241
0.028720
0.029725
0.029626
0.029497
0.028592
0.028011
0.029149
0.028452
0.028591
